
> przyporządkowywane do procesów
         time  line  rank
247  2.863180     0     1
248  0.001709   801     1
249  0.001695   802     1
250  0.001590   803     1
251  0.001634   804     1
252  0.001724   805     1
253  0.001673   806     1
254  0.001712   807     1
255  0.001891   808     1
256  0.001801   809     1
257  0.001722   810     1
258  0.001801   811     1
259  0.001845   813     1
260  0.001977   815     1
261  0.001577   818     1
262  0.001522   820     1
263  0.001491   822     1
264  0.001465   823     1
265  0.001444   826     1
266  0.001533   828     1
267  0.001347   829     1
268  0.001193   832     1
269  0.001217   833     1
270  0.001152   836     1
271  0.001141   838     1
272  0.001134   840     1
273  0.001126   842     1
274  0.001109   844     1
275  0.001104   847     1
276  0.001118   849     1
277  0.001114   854     1
278  0.001072   857     1
279  0.001076   858     1
280  0.001062   862     1
281  0.001053   865     1
282  0.001052   868     1
283  0.001048   870     1
284  0.001038   875     1
285  0.001036   877     1
286  0.001035   879     1
287  0.001021   884     1
288  0.001021   885     1
289  0.001011   889     1
290  0.001011   891     1
291  0.001002   894     1
292  0.001000   899     1
293  2.686696   900     1
         time  line  rank
440  0.001018     1     2
441  0.000943     9     2
442  0.000928    19     2
443  0.000946    26     2
444  0.000958    37     2
..        ...   ...   ...
512  0.000940   950     2
513  0.000954   952     2
514  0.000935   954     2
515  0.000930   956     2
516  0.000943   958     2

[77 rows x 3 columns]
         time  line  rank
517  0.001024     2     3
518  0.000923    10     3
519  0.000947    17     3
520  0.000952    28     3
521  0.000960    38     3
522  0.000962    46     3
523  0.000968    53     3
524  0.001012    64     3
525  0.001029    69     3
526  0.001046    79     3
527  0.001056    87     3
528  0.001072    95     3
529  0.001096   104     3
530  0.001106   107     3
531  0.001100   114     3
532  0.001125   121     3
533  0.001173   128     3
534  0.001470   138     3
535  0.001656   144     3
536  0.001713   151     3
537  0.001653   160     3
538  0.001683   164     3
539  0.002273   173     3
540  0.002407   175     3
541  0.002880   184     3
542  0.003570   191     3
543  0.003915   202     3
544  0.004257   204     3
545  0.004232   213     3
546  0.004587   218     3
547  0.005055   222     3
548  0.004687   231     3
549  0.005205   233     3
550  0.005001   239     3
551  0.005945   250     3
552  0.006254   256     3
553  0.006715   260     3
554  0.007117   266     3
555  0.006770   273     3
556  0.006954   275     3
557  0.007209   283     3
558  0.007322   289     3
559  0.007622   297     3
560  2.888547   300     3
         time  line  rank
561  0.000997     3     4
562  0.000916    11     4
563  0.000918    18     4
564  0.000923    25     4
565  0.000934    33     4
..        ...   ...   ...
632  0.000944   951     4
633  0.000925   953     4
634  0.000922   955     4
635  0.000927   957     4
636  0.000920   959     4

[76 rows x 3 columns]
         time  line  rank
701  0.001022     4     5
702  0.000939    14     5
703  0.000947    23     5
704  0.000953    31     5
705  0.000961    39     5
..        ...   ...   ...
784  0.002803   484     5
785  0.002898   485     5
786  0.002960   492     5
787  0.002909   493     5
788  2.869779   500     5

[88 rows x 3 columns]
         time  line  rank
637  0.001023     5     6
638  0.000933    13     6
639  0.000936    22     6
640  0.000941    30     6
641  0.000947    36     6
..        ...   ...   ...
696  0.006794   384     6
697  0.006877   386     6
698  0.006305   393     6
699  0.006455   398     6
700  2.899719   400     6

[64 rows x 3 columns]
         time  line  rank
318  0.001003     6     7
319  0.000918    12     7
320  0.000921    20     7
321  0.000926    27     7
322  0.000937    34     7
..        ...   ...   ...
435  0.007796   590     7
436  0.007613   593     7
437  0.007677   595     7
438  0.007320   599     7
439  2.829990   600     7

[122 rows x 3 columns]
         time  line  rank
0    0.001038     7     8
1    0.000923    15     8
2    0.000930    21     8
3    0.000933    29     8
4    0.000937    35     8
..        ...   ...   ...
313  0.001743   796     8
314  0.001584   797     8
315  0.001623   798     8
316  0.001640   799     8
317  2.738849   800     8

[271 rows x 3 columns]
         time  line  rank
789  0.001046     8     9
790  0.000940    16     9
791  0.000944    24     9
792  0.000950    32     9
793  0.000957    40     9
..        ...   ...   ...
955  0.006850   691     9
956  0.007199   693     9
957  0.006593   696     9
958  0.006672   697     9
959  2.792403   700     9

[171 rows x 3 columns]

> porownaj liczbę linii przyporządkowaną do każdego z procesów workerów
rank
1     47
2     77
3     44
4     76
5     88
6     64
7    122
8    271
9    171
dtype: int64

> Policz sumę czasów dla każdego z procesów workerów.
rank
1    5.609974
2    2.956854
3    3.024248
4    2.962432
5    3.263145
6    3.185589
7    3.412509
8    4.123340
9    3.755324
Name: time, dtype: float64
