@relation InstanceResultListener

@attribute Key_Dataset {'OTOMOTO-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,1'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.BFTree,weka.classifiers.bayes.NaiveBayes,weka.classifiers.bayes.BayesNet,weka.classifiers.rules.ZeroR,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-S 1 -M 2 -N 5 -C 1.0 -P POSTPRUNED','','-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-7035607375962528217,5995231201785697655,746037443258775954,48055541465867954,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 5\nSize of the tree: 9\n'}
@attribute measureTreeSize numeric
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

'OTOMOTO-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,1',1,weka.classifiers.trees.BFTree,'-S 1 -M 2 -N 5 -C 1.0 -P POSTPRUNED',-7035607375962528217,20221113.1545,25,5,5,0,0,100,0,0,1,0,0,0,0,11.60964,0,11.60964,2.321928,0,2.321928,11.60964,2.321928,500,1,1,0,0,1,4,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.002,0,0,0,26181,5701,3521,?,9,?,?,?,?,?,?,?,?,?,?,?
'OTOMOTO-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,1',2,weka.classifiers.trees.BFTree,'-S 1 -M 2 -N 5 -C 1.0 -P POSTPRUNED',-7035607375962528217,20221113.1545,24,6,6,0,0,100,0,0,1,0,0,0,0,14.16418,0,14.16418,2.360697,0,2.360697,14.16418,2.360697,610.954435,1,2,0,0,1,4,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.001,0,0,0,25641,5592,3630,?,9,?,?,?,?,?,?,?,?,?,?,?
'OTOMOTO-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,1',3,weka.classifiers.trees.BFTree,'-S 1 -M 2 -N 5 -C 1.0 -P POSTPRUNED',-7035607375962528217,20221113.1545,24,6,6,0,0,100,0,0,1,0,0,0,0,14.16418,0,14.16418,2.360697,0,2.360697,14.16418,2.360697,610.954435,1,1,0,0,1,5,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.001,0,0,0,25641,5592,3630,?,9,?,?,?,?,?,?,?,?,?,?,?
'OTOMOTO-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,1',4,weka.classifiers.trees.BFTree,'-S 1 -M 2 -N 5 -C 1.0 -P POSTPRUNED',-7035607375962528217,20221113.1545,25,5,5,0,0,100,0,0,1,0,0,0,0,11.60964,0,11.60964,2.321928,0,2.321928,11.60964,2.321928,500,1,1,0,0,1,4,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.002,0,0,0,26181,5701,3521,?,9,?,?,?,?,?,?,?,?,?,?,?
'OTOMOTO-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,1',5,weka.classifiers.trees.BFTree,'-S 1 -M 2 -N 5 -C 1.0 -P POSTPRUNED',-7035607375962528217,20221113.1545,25,5,5,0,0,100,0,0,1,0,0,0,0,11.60964,0,11.60964,2.321928,0,2.321928,11.60964,2.321928,500,1,1,0,0,1,4,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.002,0,0,0,26181,5701,3521,?,9,?,?,?,?,?,?,?,?,?,?,?
'OTOMOTO-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,1',6,weka.classifiers.trees.BFTree,'-S 1 -M 2 -N 5 -C 1.0 -P POSTPRUNED',-7035607375962528217,20221113.1545,24,6,6,0,0,100,0,0,1,0,0,0,0,14.16418,0,14.16418,2.360697,0,2.360697,14.16418,2.360697,610.954435,1,1,0,0,1,5,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.003,0,0,0,25641,5592,3630,?,9,?,?,?,?,?,?,?,?,?,?,?
'OTOMOTO-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,1',7,weka.classifiers.trees.BFTree,'-S 1 -M 2 -N 5 -C 1.0 -P POSTPRUNED',-7035607375962528217,20221113.1545,24,6,5,1,0,83.333333,16.666667,0,0.785714,0.066667,0.258199,20.714286,64.144224,14.16418,1074,-1059.83582,2.360697,179,-176.639303,11.556742,1.926124,498.485831,0,0,0,0,1,5,1,1,0,0,0,0.5,0.833333,0.033333,0.966667,0.166667,0.75,0.833333,0.777778,0.9,0.002,0,0,0,25641,5592,3630,?,9,?,?,?,?,?,?,?,?,?,?,?
'OTOMOTO-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,1',8,weka.classifiers.trees.BFTree,'-S 1 -M 2 -N 5 -C 1.0 -P POSTPRUNED',-7035607375962528217,20221113.1545,24,6,6,0,0,100,0,0,1,0,0,0,0,14.16418,0,14.16418,2.360697,0,2.360697,14.16418,2.360697,610.954435,1,1,0,0,1,5,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.002,0,0,0,25749,5592,3630,?,9,?,?,?,?,?,?,?,?,?,?,?
'OTOMOTO-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,1',9,weka.classifiers.trees.BFTree,'-S 1 -M 2 -N 5 -C 1.0 -P POSTPRUNED',-7035607375962528217,20221113.1545,25,5,4,1,0,80,20,0,0.75,0.08,0.282843,25,70.710678,11.60964,1074,-1062.39036,2.321928,214.8,-212.478072,8.965784,1.793157,386.135312,1,1,0.25,1,0.75,3,0,0,0.5,1,0.666667,0.875,0.8,0.05,0.95,0.2,0.7,0.8,0.733333,0.875,0.002,0,0.015625,0,26093,5701,3521,?,9,?,?,?,?,?,?,?,?,?,?,?
