word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
42,42,num:pl:nom:m3:congr,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
475,475,num:pl:nom:m3:rec,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
11,11,adj:sg:gen:m3:pos,space,disamb
kwietnia,kwiecień,subst:sg:gen:m3,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,none,new
zmianie,zmiana,subst:sg:loc:f,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:loc,space,disamb
cudzoziemcach,cudzoziemiec,subst:pl:loc:m1,space,disamb
oraz,oraz,conj,space,disamb
o,o,prep:loc,space,disamb
zmianie,zmiana,subst:sg:loc:f,space,disamb
niektórych,niektóry,adj:pl:gen:f:pos,space,disamb
ustaw,ustawa,subst:pl:gen:f,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
W,w,prep:loc:nwok,none,new
ustawie,ustawa,subst:sg:loc:f,space,disamb
z,z,prep:gen:nwok,space,disamb
dnia,dzień,subst:sg:gen:m3,space,disamb
25,25,adj:sg:gen:m3:pos,space,disamb
czerwca,czerwiec,subst:sg:gen:m3,space,disamb
1997,1997,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,space,disamb
cudzoziemcach,cudzoziemiec,subst:pl:loc:m1,space,disamb
(,(,interp,space,disamb
Dz,dziennik,brev:pun,none,disamb
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,space,disamb
114,114,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
739,739,adj:sg:nom:f:pos,space,disamb
",",",",interp,none,disamb
z,z,prep:gen:nwok,none,new
1998,1998,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
106,106,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
668,668,num:pl:nom:m3:rec,space,disamb
i,i,conj,space,disamb
Nr,numer,brev:npun,space,disamb
162,162,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
1126,1126,subst:sg:nom:f,space,disamb
oraz,oraz,conj,space,disamb
z,z,prep:gen:nwok,space,disamb
2000,2000,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
106,106,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
1118,1118,num:pl:nom:m3:rec,none,new
),),interp,none,disamb
wprowadza,wprowadzać,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
następujące,następujący,adj:pl:acc:f:pos,space,disamb
zmiany,zmiana,subst:pl:acc:f,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
w,w,prep:loc:nwok,space,disamb
art,artykuł,brev:pun,space,disamb
.,.,interp,none,disamb
1,1,adj:sg:loc:m3:pos,none,disamb
:,:,interp,none,disamb
a,a,subst:sg:nom:n,none,new
),),interp,none,disamb
ust,ustęp,brev:pun,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,none,disamb
otrzymuje,otrzymywać,fin:sg:ter:imperf,space,disamb
brzmienie,brzmienie,subst:sg:acc:n,space,disamb
:,:,interp,none,disamb
"""","""",interp,none,new
2,2,adj:sg:nom:n:pos,none,disamb
.,.,interp,none,disamb
Do,do,prep:gen,newline,new
spraw,sprawa,subst:pl:gen:f,space,disamb
objętych,objąć,ppas:pl:gen:f:perf:aff,space,disamb
przepisami,przepis,subst:pl:inst:m3,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
uregulowanych,uregulować,ppas:pl:gen:f:perf:aff,space,disamb
umowami,umowa,subst:pl:inst:f,space,disamb
międzynarodowymi,międzynarodowy,adj:pl:inst:n:pos,none,new
",",",",interp,none,disamb
którymi,który,adj:pl:inst:n:pos,space,disamb
związana,związany,adj:sg:nom:f:pos,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
Rzeczpospolita,Rzeczpospolita,subst:sg:nom:f,space,disamb
Polska,polski,adj:sg:nom:f:pos,space,disamb
",",",",interp,none,disamb
stosuje,stosować,fin:sg:ter:imperf,none,new
się,się,qub,space,disamb
postanowienia,postanowienie,subst:pl:acc:n,space,disamb
tych,ten,adj:pl:gen:f:pos,space,disamb
umów,umowa,subst:pl:gen:f,space,disamb
.,.,interp,none,disamb
"""","""",interp,none,disamb
",",",",interp,none,disamb
b,b,subst:sg:nom:n,none,new
),),interp,none,disamb
w,w,prep:loc:nwok,space,disamb
ust,ustęp,brev:pun,space,disamb
.,.,interp,none,disamb
3,3,adj:sg:loc:m3:pos,space,disamb
wyrazy,wyraz,subst:pl:acc:m3,space,disamb
"""","""",interp,space,disamb
z,z,prep:inst:nwok,none,disamb
wyjątkiem,wyjątek,subst:sg:inst:m3,space,disamb
art,artykuł,brev:pun,space,disamb
.,.,interp,none,disamb
5,5,adj:sg:nom:m3:pos,space,disamb
"""","""",interp,none,disamb
zastępuje,zastępować,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
wyrazami,wyraz,subst:pl:inst:m3,space,disamb
"""","""",interp,space,disamb
z,z,prep:gen:nwok,none,disamb
wyjątkiem,wyjątek,subst:sg:inst:m3,none,new
art,artykuł,brev:pun,space,disamb
.,.,interp,none,disamb
5,5,adj:sg:gen:m3:pos,space,disamb
ust,ustęp,brev:pun,space,disamb
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
"""","""",interp,none,disamb
;,;,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
w,w,prep:loc:nwok,space,disamb
art,artykuł,brev:pun,space,disamb
.,.,interp,none,disamb
3,3,adj:sg:loc:m3:pos,space,disamb
wyrazy,wyraz,subst:pl:nom:m3,space,disamb
"""","""",interp,space,disamb
dokument,dokument,subst:sg:nom:m3,none,disamb
paszportowy,paszportowy,adj:sg:nom:m3:pos,space,disamb
"""","""",interp,none,disamb
zastępuje,zastępować,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
wyrazami,wyraz,subst:pl:inst:m3,space,disamb
"""","""",interp,space,disamb
dokument,dokument,subst:sg:nom:m3,none,disamb
podróży,podróż,subst:sg:gen:f,none,new
"""","""",interp,none,disamb
;,;,interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
w,w,prep:loc:nwok,space,disamb
art,artykuł,brev:pun,space,disamb
.,.,interp,none,disamb
4,4,adj:sg:loc:m3:pos,space,disamb
:,:,interp,none,disamb
a,a,subst:sg:nom:n,none,new
),),interp,none,disamb
pkt,punkt,brev:npun,space,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
i,i,conj,space,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
otrzymują,otrzymywać,fin:pl:ter:imperf,space,disamb
brzmienie,brzmienie,subst:sg:acc:n,space,disamb
:,:,interp,none,disamb
"""","""",interp,none,new
1,1,adj:sg:nom:n:pos,none,disamb
),),interp,none,disamb
dokumencie,dokument,subst:sg:loc:m3,space,disamb
podróży,podróż,subst:sg:gen:f,space,disamb
-,-,interp,space,disamb
oznacza,oznaczać,fin:sg:ter:imperf,space,disamb
to,to,subst:sg:nom:n,space,disamb
dokument,dokument,subst:sg:nom:m3,space,disamb
uznany,uznać,ppas:sg:nom:m3:perf:aff,space,disamb
przez,przez,prep:acc:nwok,space,disamb
właściwy,właściwy,adj:sg:acc:m3:pos,space,disamb
organ,organ,subst:sg:acc:m3,space,disamb
Rzeczypospolitej,Rzeczpospolita,subst:sg:gen:f,none,new
Polskiej,polski,adj:sg:gen:f:pos,space,disamb
",",",",interp,none,disamb
uprawniający,uprawniać,pact:sg:nom:m1:imperf:aff,space,disamb
do,do,prep:gen,space,disamb
przekroczenia,przekroczyć,ger:sg:gen:n:perf:aff,space,disamb
granicy,granica,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
wydany,wydać,ppas:sg:nom:m1:perf:aff,none,new
cudzoziemcowi,cudzoziemiec,subst:sg:dat:m1,space,disamb
przez,przez,prep:acc:nwok,space,disamb
organ,organ,subst:sg:acc:m3,space,disamb
państwa,państwo,subst:sg:gen:n,space,disamb
obcego,obcy,adj:sg:gen:n:pos,space,disamb
",",",",interp,none,disamb
organ,organ,subst:sg:acc:m3,space,disamb
polski,Polska,subst:sg:gen:f,space,disamb
lub,lub,conj,space,disamb
organizację,organizacja,subst:sg:acc:f,none,new
międzynarodową,międzynarodowy,adj:sg:acc:f:pos,space,disamb
albo,albo,conj,space,disamb
podmiot,podmiot,subst:sg:acc:m3,space,disamb
upoważniony,upoważnić,ppas:sg:acc:m3:perf:aff,space,disamb
przez,przez,prep:acc:nwok,space,disamb
organ,organ,subst:sg:acc:m3,space,disamb
państwa,państwo,subst:sg:gen:n,none,new
obcego,obcy,adj:sg:gen:n:pos,space,disamb
lub,lub,conj,space,disamb
obcą,obcy,adj:sg:acc:f:pos,space,disamb
władzę,władza,subst:sg:acc:f,space,disamb
o,o,prep:loc,space,disamb
charakterze,charakter,subst:sg:loc:m3,space,disamb
państwowym,państwowy,adj:sg:loc:m3:pos,space,disamb
",",",",interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
wizie,wiza,subst:sg:dat:f,space,disamb
-,-,interp,space,disamb
oznacza,oznaczać,fin:sg:ter:imperf,space,disamb
to,ten,adj:sg:nom:n:pos,space,disamb
zezwolenie,zezwolenie,subst:sg:acc:n,space,disamb
wydane,wydać,ppas:sg:nom:n:perf:aff,space,disamb
cudzoziemcowi,cudzoziemiec,subst:sg:dat:m1,space,disamb
przez,przez,prep:acc:nwok,space,disamb
właściwy,właściwy,adj:sg:acc:m3:pos,space,disamb
organ,organ,subst:sg:nom:m3,none,new
Rzeczypospolitej,Rzeczpospolita,subst:sg:gen:f,space,disamb
Polskiej,polski,adj:sg:gen:f:pos,space,disamb
lub,lub,conj,space,disamb
organ,organ,subst:sg:nom:m3,space,disamb
",",",",interp,none,disamb
którego,który,adj:sg:gen:m3:pos,space,disamb
właściwość,właściwość,subst:sg:nom:f,space,disamb
w,w,prep:loc:nwok,space,disamb
tej,ten,adj:sg:loc:f:pos,space,disamb
sprawie,sprawa,subst:sg:dat:f,none,new
wynika,wynikać,fin:sg:ter:imperf,space,disamb
z,z,prep:gen:nwok,space,disamb
postanowień,postanowienie,subst:pl:gen:n,space,disamb
umów,umowa,subst:pl:gen:f,space,disamb
międzynarodowych,międzynarodowy,adj:pl:gen:f:pos,space,disamb
obowiązujących,obowiązywać,pact:pl:gen:f:imperf:aff,space,disamb
Rzeczpospolitą,rzeczpospolita,subst:sg:inst:f,none,new
Polską,Polska,subst:sg:inst:f,space,disamb
",",",",interp,none,disamb
uprawniające,uprawniać,pact:pl:nom:f:imperf:aff,space,disamb
go,on,ppron3:sg:acc:m1:ter:nakc:npraep,space,disamb
do,do,prep:gen,space,disamb
wjazdu,wjazd,subst:sg:gen:m3,space,disamb
",",",",interp,none,disamb
przejazdu,przejazd,subst:sg:gen:m3,space,disamb
",",",",interp,none,disamb
pobytu,pobyt,subst:sg:gen:m3,space,disamb
i,i,conj,space,disamb
