word,freq
Aby,1
BYĆ,1
Bez,20
Byli,1
Były,7
BĘDĄ,1
Będzie,1
Cała,3
Co,13
Czasem,7
Czy,17
DLA,3
DO,9
Dla,201
Do,3424
Dwa,2
Dwaj,1
Dwie,1
Gdy,24
Gdyby,8
ICH,1
INNE,3
INNYCH,2
IV,142
IX,27
Ich,1
Inna,18
Inne,236
Inny,5
Innych,1
IŻ,1
Ja,3
Jako,14
Jeden,19
Jedna,3
Jednak,5
Jednakże,54
Jedno,1
Jednym,2
Jedynie,1
Jej,1
Jest,3
Jeśli,40
Jeżeli,4194
KTÓRE,2
KTÓRYCH,4
KTÓRYM,2
KU,2
Każdy,96
Kilka,2
Kto,651
MAJĄ,1
MOGĄ,1
Ma,3
Mają,5
Mi,2
Mimo,2
Między,5
Mogą,10
Może,20
Możliwe,1
Można,37
NA,12
NIE,5
NIŻ,1
Na,1194
Nad,3
Natomiast,1
Nie,629
OD,5
ORAZ,6
Obok,9
Od,643
PO,1
POD,2
Pan,7
Pana,5
Po,552
Pod,5
Podczas,32
Pomimo,4
Ponad,1
Powinno,2
Poza,38
Prawie,5
Przed,203
Przez,220
Przy,541
SIĘ,4
Sposób,71
Są,1
TAK,3
TEJ,1
Ta,13
Tak,4
Taka,1
Taki,2
Takie,3
Tej,160
Ten,10
To,2
Tylko,9
Tę,2
VI,83
VII,64
VIII,34
WE,218
WEDŁUG,1
We,30
Wiele,1
Wszystkie,17
Wszystkim,1
Wśród,3
XI,24
XII,12
XIII,9
XIV,4
XV,3
ZA,15
Za,792
Ze,57
aby,344
ach,1
albo,8554
ale,129
ani,428
aż,93
bardziej,16
bardzo,44
bez,2324
bo,1
by,26
byli,63
być,6013
był,301
była,250
było,242
były,330
będzie,531
będą,365
będę,14
cała,3
cały,96
chce,15
choć,1
ci,53
co,3464
coś,2
czasem,24
czy,536
czyli,35
często,1
dla,7649
dlaczego,6
do,56727
dobrze,5
dokąd,1
dwa,173
dwaj,29
dwie,76
dwoje,3
gdy,2713
gdyby,84
gdyż,3
gdzie,136
go,832
ich,8176
ile,629
im,409
inna,122
inne,2369
inny,770
innych,4527
iz,1
iż,135
jak,874
jakby,7
jaki,199
jakie,496
jako,1769
jakoś,1
je,643
jeden,516
jedna,121
jednak,1244
jednakże,103
jedno,106
jednym,271
jedynie,314
jego,6303
jej,3688
jemu,19
jest,13009
jestem,9
jeszcze,82
jeśli,156
jeżeli,7294
już,208
ją,300
każdy,384
kiedy,56
kierunku,60
kilka,70
kilku,180
kto,319
która,1232
które,4015
którego,2117
której,7460
który,3019
których,17891
którym,11757
którzy,722
ku,2
lecz,215
lub,45325
ma,1960
mają,1043
mało,6
mi,54
miał,48
miedzy,2
mimo,145
między,972
mnie,1
mogą,3849
może,11368
możliwe,199
można,1350
mu,664
musi,144
my,1
mój,2
na,49031
nad,1569
nasze,1
naszego,1
natomiast,57
natychmiast,59
nawet,164
nia,13
nic,1
nich,863
nie,22252
niego,945
niej,304
niemu,31
nigdy,6
nim,593
nimi,272
nią,240
niż,6408
obok,74
od,15955
ok,1
około,2
on,473
ona,240
one,437
oni,63
ono,202
oraz,33082
po,12945
pod,1839
podczas,386
pomimo,118
ponad,335
ponieważ,1
powinien,852
powinna,606
powinni,81
powinno,727
poza,1118
prawie,177
przed,4482
przede,52
przedtem,5
przez,20534
przy,3131
raz,362
razie,3058
roku,3122
również,2477
sam,146
sama,31
sie,1
się,43963
sobie,90
sobą,117
sposób,4112
swoje,325
są,5767
ta,493
tak,230
taka,100
taki,272
takich,455
takie,373
także,5313
tam,55
te,1705
tego,3903
tej,2773
temu,176
ten,1418
też,166
to,3579
trzeba,1
tu,1
tych,5006
tylko,1001
tym,6001
tys,4
tę,479
vi,2
wami,1
we,983
według,1562
wie,10
wiele,1
wielu,42
więcej,1007
wszyscy,59
wszystkich,715
wszystkie,366
wszystkim,83
wszystko,3
wtedy,19
wy,21
wśród,26
za,10238
zawsze,7
zaś,95
ze,5433
został,1024
Żaden,2
Żadna,3
żaden,30
żadna,31
żadne,21
żadnych,32
że,4449
żeby,3
