# example freq from two docs

|,1616
\n,966
   ,485
w,211
        ,170
           ,168
i,147
\n,122
 ,118
ust.,117
                                          ,114
  ,113
z,102
                                       ,86
się,64
art.,63
do,62
w,56
towarów,43
1,42
o,40
pkt,35
2,35


        word   freq
154       do  56727
233       na  49031
215      lub  45325
286      się  43963
261     oraz  33082
243      nie  22252
277    przez  20534
210  których  17891
253       od  15955
192     jest  13009
262       po  12945
211   którym  11757
226     może  11368
330       za  10238
123     albo   8554
166      ich   8176
152      dla   7649
208   której   7460
196   jeżeli   7294
251      niż   6408
189     jego   6303
133      być   6013
311      tym   6001
291       są   5767
333       ze   5433
298    także   5313
309     tych   5006
172   innych   4527
274    przed   4482
341       że   4449
43    Jeżeli   4194
289   sposób   4112
206    które   4015
301     tego   3903
225     mogą   3849
190      jej   3688
306       to   3579
146       co   3464
14        Do   3424
278     przy   3131
281     roku   3122
280    razie   3058
209    który   3019
302      tej   2773
161      gdy   2713
282  również   2477
170     inne   2369
129      bez   2324
207  którego   2117
216       ma   1960
