word,freq
a,17133
aa,2
aarhus,1
abandon,10
abandonu,11
abiotyczne,2
abiotycznymi,1
abolicję,1
abonamentowa,2
abonamentowej,3
abonamentowych,4
abonamentową,1
abonamentu,1
abonent,11
abonenta,6
abonentowi,18
abonentów,6
abortus,3
absolutorium,82
absolwenci,15
absolwencie,2
absolwenckiej,5
absolwent,7
absolwenta,37
absolwentami,8
absolwentem,9
absolwentom,23
absolwentowi,3
absolwentów,45
abstrakcyjną,1
abw,15
aby,358
ac,1
acariosis,1
acetanilid,1
acetoksy,6
acetorfina,1
acetylenowe,4
acetylo,2
acetylodihydrokodeinon,1
acetylometadol,1
ach,1
acyjne,1
aczają,2
ad,2
adama,6
adaptacja,1
adaptacje,1
adaptacji,12
adaptacją,4
adaptację,5
adaptacyjnego,11
adaptacyjno,1
adaptacyjnoopiekuńcze,3
adaptacyjny,10
adaptacyjnych,2
adekwatnego,1
adekwatności,1
adekwatność,3
adekwatnych,1
adenomatosis,2
adiacenckich,1
adiacenckiej,1
adiacencką,1
adiunkci,1
adiunkt,1
admi,1
admiministracji,1
adminis,1
administracja,19
administracjami,1
administracji,2941
administracją,16
administrację,52
administracyjna,22
administracyjne,95
administracyjnego,574
administracyjnej,367
administracyjnemu,10
administracyjni,4
administracyjno,19
administracyjnoporządkowe,2
administracyjnoporządkowych,1
administracyjny,86
administracyjnych,223
administracyjnym,133
administracyjnymi,19
administracyjną,114
administrator,36
administratora,29
administratorami,2
administratorem,21
administratorowi,3
administratorze,1
administratorzy,2
administratorów,4
administrcację,1
administrowane,1
administrowanej,6
administrowania,27
administrowanie,17
administrowaniem,1
administrowaniu,29
administrowany,1
administrowanych,3
administrowanym,3
administruje,11
administrującego,4
administrującemu,1
administrujący,9
administrujących,9
administrującym,4
admirał,3
admirała,9
admirałów,9
adn,12
adnotacje,15
adnotacji,31
adnotacją,8
adnotację,24
adopcji,1
adopcyjnej,2
adopcyjno,42
adopcyjnoopiekuńcze,2
adopcyjnoopiekuńczego,2
adopcyjnoopiekuńczych,5
adopcyjnoopiekuńczymi,1
adopcyjnych,1
adopcyjnymi,2
adopcyjną,2
adr,5
adres,778
adresach,5
adresami,3
adresat,4
adresata,32
adresatem,2
adresatom,3
adresatowi,5
adresatów,6
adresem,24
adresie,12
adresowane,2
