word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
2000,2000,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
120,120,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
1268,1268,num:pl:nom:m3:rec,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
22,22,adj:sg:gen:m3:pos,space,disamb
grudnia,grudzień,subst:sg:gen:m3,space,disamb
2000,2000,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,none,new
zmianie,zmiana,subst:sg:loc:f,space,disamb
niektórych,niektóry,adj:pl:gen:n:pos,space,disamb
upoważnień,upoważnienie,subst:pl:gen:n,space,disamb
ustawowych,ustawowy,adj:pl:gen:n:pos,space,disamb
do,do,prep:gen,space,disamb
wydawania,wydawać,ger:sg:gen:n:imperf:aff,space,disamb
aktów,akt,subst:pl:gen:m3,none,new
normatywnych,normatywny,adj:pl:gen:m3:pos,space,disamb
oraz,oraz,conj,space,disamb
o,o,prep:loc,space,disamb
zmianie,zmiana,subst:sg:loc:f,space,disamb
niektórych,niektóry,adj:pl:gen:f:pos,space,disamb
ustaw,ustawa,subst:pl:gen:f,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
W,w,prep:loc:nwok,none,new
ustawie,ustawa,subst:sg:loc:f,space,disamb
z,z,prep:gen:nwok,space,disamb
dnia,dzień,subst:sg:gen:m3,space,disamb
13,13,adj:sg:gen:m3:pos,space,disamb
lipca,lipiec,subst:sg:gen:m3,space,disamb
1939,1939,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,space,disamb
nadzorze,nadzór,subst:sg:loc:m3,space,disamb
nad,nad,prep:inst:nwok,space,disamb
niektórymi,niektóry,adj:pl:inst:m3:pos,space,disamb
środkami,środek,subst:pl:inst:m3,space,disamb
żywienia,żywienie,subst:sg:gen:n,space,disamb
zwierząt,zwierzę,subst:pl:gen:n,none,new
(,(,interp,space,disamb
Dz,dziennik,brev:pun,none,disamb
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,space,disamb
63,63,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
419,419,adj:sg:nom:f:pos,space,disamb
",",",",interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1990,1990,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
34,34,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
198,198,adj:sg:nom:m3:pos,space,disamb
",",",",interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1997,1997,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
60,60,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,none,new
.,.,interp,none,disamb
369,369,adj:sg:nom:f:pos,space,disamb
oraz,oraz,conj,space,disamb
z,z,prep:gen:nwok,space,disamb
1998,1998,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
106,106,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
668,668,adj:sg:nom:f:pos,space,disamb
),),interp,none,disamb
wprowadza,wprowadzać,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
następujące,następujący,adj:pl:acc:f:pos,space,disamb
zmiany,zmiana,subst:pl:acc:f,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
art,artykuł,brev:pun,space,disamb
.,.,interp,none,disamb
3,3,adj:sg:nom:m3:pos,space,disamb
otrzymuje,otrzymywać,fin:sg:ter:imperf,space,disamb
brzmienie,brzmienie,subst:sg:acc:n,space,disamb
:,:,interp,none,disamb
"""","""",interp,none,new
Art,artykuł,brev:pun,none,disamb
.,.,interp,none,disamb
3,3,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Minister,minister,subst:sg:nom:m1,newline,new
właściwy,właściwy,adj:sg:nom:m1:pos,space,disamb
do,do,prep:gen,space,disamb
spraw,sprawa,subst:pl:gen:f,space,disamb
rolnictwa,rolnictwo,subst:sg:gen:n,space,disamb
określi,określić,fin:sg:ter:perf,space,disamb
",",",",interp,none,disamb
w,w,prep:loc:nwok,space,disamb
drodze,droga,subst:sg:loc:f,space,disamb
rozporządzenia,rozporządzenie,subst:pl:nom:n,none,new
",",",",interp,none,disamb
dla,dla,prep:gen,space,disamb
poszczególnych,poszczególny,adj:pl:gen:m3:pos,space,disamb
rodzajów,rodzaj,subst:pl:gen:m3,space,disamb
pasz,pasza,subst:pl:gen:f,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
cechy,cecha,subst:pl:acc:f,space,disamb
zepsucia,zepsucie,subst:sg:gen:n,space,disamb
",",",",interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
dopuszczalną,dopuszczalny,adj:sg:acc:f:pos,none,disamb
procentową,procentowy,adj:sg:acc:f:pos,none,disamb
ilość,ilość,subst:sg:acc:f,none,disamb
zanieczyszczeń,zanieczyszczenie,subst:pl:gen:n,none,disamb
i,i,conj,none,disamb
domieszek,domieszka,subst:pl:gen:f,none,disamb
szkodliwych,szkodliwy,adj:pl:gen:n:pos,none,new
dla,dla,prep:gen,space,disamb
zdrowia,zdrowie,subst:sg:gen:n,space,disamb
zwierząt,zwierzę,subst:pl:gen:n,space,disamb
",",",",interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
najmniejszą,mały,adj:sg:acc:f:sup,space,disamb
procentową,procentowy,adj:sg:acc:f:pos,space,disamb
ilość,ilość,subst:sg:acc:f,space,disamb
składników,składnik,subst:pl:gen:m3,space,disamb
odżywczych,odżywczy,adj:pl:gen:m3:pos,space,disamb
istotnych,istotny,adj:pl:gen:m3:pos,space,disamb
",",",",interp,none,disamb
4,4,adj:sg:nom:m3:pos,none,new
),),interp,none,disamb
dopuszczalny,dopuszczalny,adj:sg:nom:m3:pos,space,disamb
procent,procent,subst:sg:nom:m3,space,disamb
zawartości,zawartość,subst:sg:gen:f,space,disamb
wody,woda,subst:sg:gen:f,space,disamb
-,-,interp,none,new
mając,mieć,pcon:imperf,space,disamb
na,na,prep:loc,space,disamb
uwadze,uwaga,subst:sg:loc:f,space,disamb
zdrowie,zdrowie,subst:sg:acc:n,space,disamb
zwierząt,zwierzę,subst:pl:gen:n,space,disamb
oraz,oraz,conj,space,disamb
ich,on,ppron3:pl:gen:n:ter:akc:npraep,space,disamb
potrzeby,potrzeba,subst:pl:acc:f,space,disamb
żywieniowe,żywieniowy,adj:pl:acc:f:pos,space,disamb
.,.,interp,none,disamb
"""","""",interp,none,disamb
;,;,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
w,w,prep:loc:nwok,space,disamb
art,artykuł,brev:pun,space,disamb
.,.,interp,none,disamb
4,4,adj:sg:loc:m3:pos,space,disamb
ust,ustęp,brev:pun,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
otrzymuje,otrzymywać,fin:sg:ter:imperf,space,disamb
brzmienie,brzmienie,subst:sg:acc:n,space,disamb
:,:,interp,none,disamb
"""","""",interp,none,new
2,2,adj:sg:nom:n:pos,none,disamb
.,.,interp,none,disamb
Minister,minister,subst:sg:nom:m1,newline,new
właściwy,właściwy,adj:sg:nom:m1:pos,space,disamb
do,do,prep:gen,space,disamb
spraw,sprawa,subst:pl:gen:f,space,disamb
rolnictwa,rolnictwo,subst:sg:gen:n,space,disamb
określi,określić,fin:sg:ter:perf,space,disamb
",",",",interp,none,disamb
w,w,prep:loc:nwok,space,disamb
drodze,droga,subst:sg:loc:f,space,disamb
rozporządzenia,rozporządzenie,subst:sg:gen:n,space,disamb
",",",",interp,none,disamb
jakie,jaki,adj:pl:nom:f:pos,none,new
dane,dana,subst:pl:nom:f,space,disamb
",",",",interp,none,disamb
poza,poza,prep:inst,space,disamb
wymienionymi,wymienić,ppas:pl:inst:f:perf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
ust,ustęp,brev:pun,space,disamb
.,.,interp,none,disamb
1,1,adj:sg:loc:m3:pos,space,disamb
",",",",interp,none,disamb
powinny,powinien,winien:pl:f:imperf,space,disamb
być,być,inf:imperf,space,disamb
umieszczone,umieścić,ppas:pl:nom:f:perf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
napisie,napis,subst:sg:loc:m3,none,new
na,na,prep:loc,space,disamb
opakowaniu,opakować,ger:sg:loc:n:perf:aff,space,disamb
środków,środek,subst:pl:gen:m3,space,disamb
chemicznych,chemiczny,adj:pl:gen:m3:pos,space,disamb
i,i,conj,space,disamb
roślinnych,roślinny,adj:pl:gen:m3:pos,space,disamb
",",",",interp,none,disamb
mając,mieć,pcon:imperf,space,disamb
na,na,prep:acc,space,disamb
względzie,wzgląd,subst:sg:loc:m3,none,new
zapewnienie,zapewnić,ger:sg:nom:n:perf:aff,space,disamb
identyfikacji,identyfikacja,subst:sg:gen:f,space,disamb
pasz,pasza,subst:pl:gen:f,space,disamb
i,i,conj,space,disamb
utrzymanie,utrzymać,ger:sg:nom:n:perf:aff,space,disamb
ich,on,ppron3:pl:gen:n:ter:akc:npraep,space,disamb
wartości,wartość,subst:sg:gen:f,space,disamb
odżywczej,odżywczy,adj:sg:gen:f:pos,none,new
oraz,oraz,conj,space,disamb
należyte,należyty,adj:sg:nom:n:pos,space,disamb
informowanie,informować,ger:sg:nom:n:imperf:aff,space,disamb
odbiorcy,odbiorca,subst:sg:gen:m1,space,disamb
o,o,prep:loc,space,disamb
cechach,cecha,subst:pl:loc:f,space,disamb
produktu,produkt,subst:sg:gen:m3,space,disamb
.,.,interp,none,disamb
"""","""",interp,none,disamb
;,;,interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
w,w,prep:loc:nwok,space,disamb
art,artykuł,brev:pun,space,disamb
.,.,interp,none,disamb
6,6,adj:sg:loc:m3:pos,space,disamb
ust,ustęp,brev:pun,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
otrzymuje,otrzymywać,fin:sg:ter:imperf,space,disamb
brzmienie,brzmienie,subst:sg:acc:n,space,disamb
:,:,interp,none,disamb
"""","""",interp,none,new
2,2,adj:sg:nom:n:pos,none,disamb
.,.,interp,none,disamb
Minister,minister,subst:sg:nom:m1,newline,new
właściwy,właściwy,adj:sg:nom:m1:pos,space,disamb
do,do,prep:gen,space,disamb
spraw,sprawa,subst:pl:gen:f,space,disamb
rolnictwa,rolnictwo,subst:sg:gen:n,space,disamb
określi,określić,fin:sg:ter:perf,space,disamb
",",",",interp,none,disamb
w,w,prep:loc:nwok,space,disamb
drodze,droga,subst:sg:loc:f,space,disamb
rozporządzenia,rozporządzenie,subst:sg:gen:n,space,disamb
",",",",interp,none,disamb
sposoby,sposób,subst:pl:acc:m3,none,new
dokonywania,dokonywać,ger:sg:gen:n:imperf:aff,space,disamb
analiz,analiza,subst:pl:gen:f,space,disamb
środków,środek,subst:pl:gen:m3,space,disamb
żywienia,żywienie,subst:sg:gen:n,space,disamb
zwierząt,zwierzę,subst:pl:gen:n,space,disamb
",",",",interp,none,disamb
